HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_1,Input.video_url_2,Input.video_url_3,Input.video_url_4,Input.video_url_5,Answer.tag3,Answer.vid1tag1,Answer.vid1tag2,Answer.vid1tag3,Answer.vid2tag1,Answer.vid2tag2,Answer.vid2tag3,Answer.vid3tag1,Answer.vid3tag2,Answer.vid3tag3,Answer.vid4tag1,Answer.vid4tag2,Answer.vid4tag3,Answer.vid5tag1,Answer.vid5tag2,Answer.vid5tag3,Approve,Reject
31YWE12TE0AP36QLDDFD67MJJZGX7N,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:19 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:43:49 PDT 2018,,,3ERET4BTVN7PJ9C0JT3AJT18LN6K94,A1AFK7CIGJ8R61,Approved,Sun Apr 15 17:55:47 PDT 2018,Sun Apr 15 18:10:52 PDT 2018,Tue Apr 17 18:10:52 PDT 2018,2018-04-18 01:11:48 UTC,,,905,100% (5/5),100% (5/5),100% (5/5),https://www.youtube.com/watch?v=0A43tb18T8Y,https://www.youtube.com/watch?v=VRrMu7B1L2I,https://www.youtube.com/watch?v=d4rxwT7TwXg,https://www.youtube.com/watch?v=QrnoERrXXAQ,https://www.youtube.com/watch?v=NjFnoU0IJrE,no,3,The golf cart goes flying over the golfer ad crashes.,0:11,3,The monkeys found out sales were down,0:13,3,The pocket master screen appears after a clips intro,0:13,3,The turtle walks across the counter and splashes into the water.,0:10,3,The driver of the car is being peer pressured to be aggressive and the car crashes,1:02,,
31YWE12TE0AP36QLDDFD67MJJZGX7N,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:19 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:43:49 PDT 2018,,,3O6CYIULEEZEY1UK6IH430IHLFPUW1,AXE0P7KYOCPR7,Approved,Sun Apr 15 18:04:31 PDT 2018,Sun Apr 15 18:13:28 PDT 2018,Tue Apr 17 18:13:28 PDT 2018,2018-04-18 01:13:48 UTC,,,537,100% (45/45),100% (31/31),100% (31/31),https://www.youtube.com/watch?v=0A43tb18T8Y,https://www.youtube.com/watch?v=VRrMu7B1L2I,https://www.youtube.com/watch?v=d4rxwT7TwXg,https://www.youtube.com/watch?v=QrnoERrXXAQ,https://www.youtube.com/watch?v=NjFnoU0IJrE,No,3,The golfer looks around indignantly as the spectators cheer for the golf cart drivers instead of him,0:19,3,The man resignedly begins to dance with his chimpanzee coworkers,0:15,3,The characters from the game pop up out of the phone,0:08,3,A girl picks up one of the turtles and looks at it happily,0:16,3,The girl cries while looking at the boy who appears permanently injured from the accidet,0:56,,
3SSN80MU8CMDYLX5W74MACR5PJGXKT,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:23 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:44:50 PDT 2018,,,3U0SRXB7CE3WVFTPANVC26I6M63RNU,A17G3ELH11DM2M,Approved,Mon Apr 16 17:11:52 PDT 2018,Mon Apr 16 17:17:44 PDT 2018,Wed Apr 18 17:17:44 PDT 2018,2018-04-19 00:17:48 UTC,,,352,100% (17/17),100% (17/17),100% (17/17),https://www.youtube.com/watch?v=0CXqEHMgiFg,https://www.youtube.com/watch?v=GdZxbmEHW7M,https://www.youtube.com/watch?v=E_9N4hLL1lg,https://www.youtube.com/watch?v=jA4DR4vEgrs,https://www.youtube.com/watch?v=5hBqqxYcDN8,N/A,1,N/A,N/A,3,a briefcase is shut,1:10,3,swaggy p walks off,0:59,2,a blonde woman is spraying perfume on herself,N/A,3,an old lady is cruising the roads,0:12,,
3GMLHYZ0LEVG1MSRVHUQZD7CTG8UYT,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:24 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:45:06 PDT 2018,,,3SB4CE2TJWT98SLCAIWZ5IKUND0XAG,A17G3ELH11DM2M,Approved,Sun Apr 15 16:47:26 PDT 2018,Sun Apr 15 16:55:26 PDT 2018,Tue Apr 17 16:55:26 PDT 2018,2018-04-17 23:55:49 UTC,,,480,100% (17/17),100% (17/17),100% (17/17),https://www.youtube.com/watch?v=0G7g9lw20l4,https://www.youtube.com/watch?v=-F6tUN2j0Iw,https://www.youtube.com/watch?v=EOyQfd7OqIY,https://www.youtube.com/watch?v=QKXo9r6Kb5U,https://www.youtube.com/watch?v=3mmu60CNl0Y,N/A,3,a skateboarder throwing hoops picks up a dog,0:56,1,N/A,N/A,2,a granny rolls up to the drive thru window,N/A,2,game of wire logo appears,N/A,2,mario looks at a burning car,N/A,,
33N1S8XHHMJ0XFBYPFMP2IBHODF1ZS,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:19 PDT 2018,5,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:43:45 PDT 2018,,,3VNL7UK1XGHXN2T0GOHUUGAF877TF9,A20560K72HEL1C,Approved,Wed Apr 18 08:45:09 PDT 2018,Wed Apr 18 08:52:39 PDT 2018,Fri Apr 20 08:52:39 PDT 2018,2018-04-20 15:52:48 UTC,,,450,100% (17/17),100% (17/17),100% (17/17),https://www.youtube.com/watch?v=0tteHhYh9rU,https://www.youtube.com/watch?v=z01w7kSkDbg,https://www.youtube.com/watch?v=baicgyq5UQo,https://www.youtube.com/watch?v=n_ERe9-EDSM,https://www.youtube.com/watch?v=P9LHzVEPodg,No.,3,They show their slogan.,0:03,1,N/A,N/A,3,They showed the guy looking at pictures.,0:23,1,N/A,N/A,2,They show an ad for the game.,N/A,,
3ZURAPD288LUSYKYO3SIZQVZC8LF1I,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:25 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:45:13 PDT 2018,,,31QNSG6A5SR1APM6V78NFS1BVW587C,A1CF6U3GF7DZEJ,Approved,Sun Apr 15 09:59:18 PDT 2018,Sun Apr 15 10:04:52 PDT 2018,Tue Apr 17 10:04:52 PDT 2018,2018-04-17 17:05:48 UTC,,,334,99% (2166/2178),100% (30/30),100% (30/30),https://www.youtube.com/watch?v=14c5YOc0ZcU,https://www.youtube.com/watch?v=uVzhtuuy0b8,https://www.youtube.com/watch?v=bSyh4oPLXpU,https://www.youtube.com/watch?v=43_vQdp2k_o,https://www.youtube.com/watch?v=Qp6-A-t0LVM,no,1,N/A,N/A,3,The owner of the phone picks up his undamaged phone.,0:20,2,A child smiles after eating a vitamin.,N/A,3,The two figures dance around the phone.,0:06,1,N/A,N/A,,
3ZURAPD288LUSYKYO3SIZQVZC8LF1I,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:25 PDT 2018,4,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:45:13 PDT 2018,,,333U7HK6IAD6BFJZDO804AKLYQKDJT,AL7L4BS9AW3TI,Approved,Tue Apr 17 19:13:01 PDT 2018,Tue Apr 17 19:25:49 PDT 2018,Thu Apr 19 19:25:49 PDT 2018,2018-04-20 02:26:48 UTC,,,768,100% (2/2),100% (1/1),100% (1/1),https://www.youtube.com/watch?v=14c5YOc0ZcU,https://www.youtube.com/watch?v=uVzhtuuy0b8,https://www.youtube.com/watch?v=bSyh4oPLXpU,https://www.youtube.com/watch?v=43_vQdp2k_o,https://www.youtube.com/watch?v=Qp6-A-t0LVM,N/A,1,N/A,N/A,3,The man picks up his cellphone from the sidewalk and it is undamaged.,0:21,3,A little girl claims that she is going to eat all the vitamins (because they're so tasty).,0:20,3,"A green creature is shown standing next to a Cricket phone and the announcer says, ""Cricket wireless: something to smile about.""",0:06,1,N/A,N/A,,
3ICOHX7ENC92FVZKX94C33RPVF00EI,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:24 PDT 2018,5,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:45:06 PDT 2018,,,3DYGAII7PM6WMZQ2DNJ415DWQ9RQPX,A1NPQNVXPWACT7,Approved,Thu Apr 19 05:46:36 PDT 2018,Thu Apr 19 05:49:35 PDT 2018,Sat Apr 21 05:49:35 PDT 2018,2018-04-21 12:49:48 UTC,,,179,67% (2/3),100% (1/1),100% (1/1),https://www.youtube.com/watch?v=2Md5lPyuvsk,https://www.youtube.com/watch?v=X7ifDf6chNw,https://www.youtube.com/watch?v=UNiGSf2Sy30,https://www.youtube.com/watch?v=AR-Iz1fts5M,https://www.youtube.com/watch?v=nOsdS5irjAo,no comments,3,good,MM:SS.,3,good,MM:SS.,1,no,no,3,good,MM:SS.,3,good,MM:SS.,,
3ICOHX7ENC92FVZKX94C33RPVF00EI,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:24 PDT 2018,5,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:45:06 PDT 2018,,,3VA45EW49OLQKVUKD8GAB40Y8PE1O1,A1AFK7CIGJ8R61,Approved,Wed Apr 18 10:05:49 PDT 2018,Wed Apr 18 10:15:45 PDT 2018,Fri Apr 20 10:15:45 PDT 2018,2018-04-20 17:15:49 UTC,,,596,100% (5/5),100% (5/5),100% (5/5),https://www.youtube.com/watch?v=2Md5lPyuvsk,https://www.youtube.com/watch?v=X7ifDf6chNw,https://www.youtube.com/watch?v=UNiGSf2Sy30,https://www.youtube.com/watch?v=AR-Iz1fts5M,https://www.youtube.com/watch?v=nOsdS5irjAo,no,3,The kids wave goodbye to MJ then bust out rad 80's moves,00;41,3,The movie title rolls and the wesbite and info appears,0:48,1,Video not available,NA,3,Two geishas and a lady eat pretz,0:58,3,a crunchie candy bar appears on screen,0:26,,
36U4VBVNQOB74LG5HM2WRHEFQTTURR,34A9VSEXPEYBBWH75Y3DEAY3I3QJ97,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.25 ,Sun Apr 15 08:37:22 PDT 2018,5,BatchId:3195171;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:44:44 PDT 2018,,,3COPXFW7XCAABWS70IZ75J1NQQYKP7,AH56J7I291XL7,Approved,Sun Apr 15 09:01:11 PDT 2018,Sun Apr 15 09:16:59 PDT 2018,Tue Apr 17 09:16:59 PDT 2018,2018-04-17 16:17:48 UTC,,,948,100% (9/9),100% (9/9),100% (9/9),https://www.youtube.com/watch?v=2vWY-da-6wo,https://www.youtube.com/watch?v=-2l-FdatcTI,https://www.youtube.com/watch?v=HmZm8vNHBSU,https://www.youtube.com/watch?v=U219eUIZ7Qo,https://www.youtube.com/watch?v=9gspElv1yvc,na,1,na,na,2,The necklace closes showing the outline of Columbia,na,3,the girl cancels her illegal download,0:26,3,The grim reapers go away,0:20,2,The dog looks sad,na,,
