HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_1,Input.video_url_2,Input.video_url_3,Input.video_url_4,Input.video_url_5,Answer.doNotRedirect,Answer.tag3,Answer.vid1tag1,Answer.vid1tag2,Answer.vid1tag3,Answer.vid2tag1,Answer.vid2tag2,Answer.vid2tag3,Answer.vid3tag1,Answer.vid3tag2,Answer.vid3tag3,Answer.vid4tag1,Answer.vid4tag2,Answer.vid4tag3,Answer.vid5tag1,Answer.vid5tag2,Answer.vid5tag3,Approve,Reject
3L7SUC0TTUS0RJRXE7SVGBWY4IF0MX,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:32 PDT 2018,,,3BV8HQ2ZZXZWPD1G9VN9557ARJPA68,A2JIRD49ODKGLH,Approved,Wed Apr 18 09:47:40 PDT 2018,Wed Apr 18 10:01:22 PDT 2018,Fri Apr 20 10:01:22 PDT 2018,2018-04-20 17:01:48 UTC,,,822,100% (6/6),100% (6/6),100% (6/6),https://www.youtube.com/watch?v=_AQl4lUrov0,https://www.youtube.com/watch?v=ejEBSeddCg8,https://www.youtube.com/watch?v=VK03aVJekGg,https://www.youtube.com/watch?v=0-U4Yr9UNBo,https://www.youtube.com/watch?v=zv750BWrUhY,,good,3,Is a commercial about a deodorant for girls saying that stress sweat smells worst than regular sweet.,0:02,3,Is a video about cheese and a little mouse that scapes from the trap because of the cheese.,0:51,3,"Is a PlayStation infomercial, where you can see the  characters going thru different scenarios.",0:30,3,they show the new models of windows phones,0:25,3,You can see the information of what looks like an insurance company,0:55,,
3L7SUC0TTUS0RJRXE7SVGBWY4IF0MX,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:32 PDT 2018,,,36V4Q8R5ZLYQ1WTPL7RCK1J1LIIQMV,A2JY56TZCEPK3J,Submitted,Mon Apr 23 21:47:53 PDT 2018,Mon Apr 23 21:57:19 PDT 2018,Wed Apr 25 21:57:19 PDT 2018,,,,566,100% (118/118),100% (116/116),100% (115/115),https://www.youtube.com/watch?v=_AQl4lUrov0,https://www.youtube.com/watch?v=ejEBSeddCg8,https://www.youtube.com/watch?v=VK03aVJekGg,https://www.youtube.com/watch?v=0-U4Yr9UNBo,https://www.youtube.com/watch?v=zv750BWrUhY,,none,2,secret deodorant is being displayed,na,2,a mouse is eating strong cheese,na,2,many characters are walking and shooting weapons,na,2,a microsoft windows phone is being displayed,na,2,a man with many acupuncture needles is at a window contemplating jumping to firefighters,na,,
3L7SUC0TTUS0RJRXE7SVGBWY4IF0MX,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:32 PDT 2018,,,3DEL4X4EL7JA4AJFQOAF8421RW3YXC,AXE0P7KYOCPR7,Submitted,Tue Apr 24 09:08:03 PDT 2018,Tue Apr 24 09:20:04 PDT 2018,Thu Apr 26 09:20:04 PDT 2018,,,,721,100% (63/63),100% (49/49),100% (32/32),https://www.youtube.com/watch?v=_AQl4lUrov0,https://www.youtube.com/watch?v=ejEBSeddCg8,https://www.youtube.com/watch?v=VK03aVJekGg,https://www.youtube.com/watch?v=0-U4Yr9UNBo,https://www.youtube.com/watch?v=zv750BWrUhY,,No,3,The woman cringes nervously while standing next to the man,0:05,3,The mouse continues pushing up the bar of the mouse trap,0:52,3,The two men happily attack each other in the game on a futuristic battlefield,0:28,3,"A man tears open his shirt to reveal an Apple logo tattoo on his chest, and is subsequently hit from behind",0:28,3,The man looks apprehensively at the acupuncture needles sticking out of him as he prepares to jump from the burning building,1:02,,
3L7SUC0TTUS0RJRXE7SVGBWY4IF0MX,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:32 PDT 2018,,,3M23Y66PO350P9NAQV90Q51GD72S6S,A1CF6U3GF7DZEJ,Submitted,Tue Apr 24 08:35:57 PDT 2018,Tue Apr 24 08:46:00 PDT 2018,Thu Apr 26 08:46:00 PDT 2018,,,,603,99% (2187/2199),100% (51/51),100% (45/45),https://www.youtube.com/watch?v=_AQl4lUrov0,https://www.youtube.com/watch?v=ejEBSeddCg8,https://www.youtube.com/watch?v=VK03aVJekGg,https://www.youtube.com/watch?v=0-U4Yr9UNBo,https://www.youtube.com/watch?v=zv750BWrUhY,,No,3,Four versions of the product are displayed.,0:03,3,"A block of cheese is shown, with the statement that it is strong.",0:52,3,"The slogan ""Greatness Awaits"" as a city battle scene is shown.",0:38,3,"A woman hits a man who has shown his apple tattoo, and the ad urges people not to fight.",0:24,3,The acupuncture patient is afraid to jump out of the window.,0:42,,
3PN6H8C9R4OTO2J2TGQLMRLH4QZDAJ,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:33 PDT 2018,,,3PS7W85Z800OMS2ND2H2KKO45AC9TZ,A2JY56TZCEPK3J,Approved,Wed Apr 18 16:56:56 PDT 2018,Wed Apr 18 17:10:28 PDT 2018,Fri Apr 20 17:10:28 PDT 2018,2018-04-21 00:10:49 UTC,,,812,100% (118/118),100% (116/116),100% (115/115),https://www.youtube.com/watch?v=_HckRLrBXQM,https://www.youtube.com/watch?v=AEAJrT8PeOo,https://www.youtube.com/watch?v=qIVDxL2lgN4,https://www.youtube.com/watch?v=XFsZ6BO4LU0,https://www.youtube.com/watch?v=HOYnOeo42ko,,`NONE,2,KIKKOMAN IS STANDING,NA,1,NA,NA,3,SNICKERS CANDY BAR IS SHOWN,0:40,3,AN OREO COOKIE IS SHOWN,0:40,2,TWO GUYS ARE SITTING NEXT TO EACH OTHER,NA,,
3PN6H8C9R4OTO2J2TGQLMRLH4QZDAJ,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:33 PDT 2018,,,3YGXWBAF71F635U0ALQLE2DKV3UC4X,A17G3ELH11DM2M,Approved,Fri Apr 20 18:20:44 PDT 2018,Fri Apr 20 18:24:18 PDT 2018,Sun Apr 22 18:24:18 PDT 2018,2018-04-23 01:24:48 UTC,,,214,100% (66/66),100% (66/66),100% (65/65),https://www.youtube.com/watch?v=_HckRLrBXQM,https://www.youtube.com/watch?v=AEAJrT8PeOo,https://www.youtube.com/watch?v=qIVDxL2lgN4,https://www.youtube.com/watch?v=XFsZ6BO4LU0,https://www.youtube.com/watch?v=HOYnOeo42ko,,N/A,3,an animate man is wearing a cape,1:53,1,N/A,N/A,3,mr. bean escapes his pursuers,0:51,3,animated animals and humans pass each other an oreo,1:25,3,a comedian is making car sound effects,0:28,,
3PN6H8C9R4OTO2J2TGQLMRLH4QZDAJ,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:33 PDT 2018,,,36U2A8VAG2X4KAK8R5VQIAUZVNBKYW,A9V6FR3NG4YSL,Submitted,Tue Apr 24 07:28:36 PDT 2018,Tue Apr 24 07:43:48 PDT 2018,Thu Apr 26 07:43:48 PDT 2018,,,,912,75% (6/8),75% (6/8),100% (6/6),https://www.youtube.com/watch?v=_HckRLrBXQM,https://www.youtube.com/watch?v=AEAJrT8PeOo,https://www.youtube.com/watch?v=qIVDxL2lgN4,https://www.youtube.com/watch?v=XFsZ6BO4LU0,https://www.youtube.com/watch?v=HOYnOeo42ko,,No,3,two guys fight each other,0:18,1,N/A,N/A,3,A guy jumps on a roof to join his team.,0:37,3,The wolf handed an Oreo to a pig.,0:09,3,A guy mimics the sound of a car.,0:11,,
3PN6H8C9R4OTO2J2TGQLMRLH4QZDAJ,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:49 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Thu Apr 26 06:41:33 PDT 2018,,,3LOTDFNYA8XPFJXUBTM5H0HECJSFWO,A1CF6U3GF7DZEJ,Submitted,Tue Apr 24 06:41:37 PDT 2018,Tue Apr 24 06:56:30 PDT 2018,Thu Apr 26 06:56:30 PDT 2018,,,,893,99% (2187/2199),100% (51/51),100% (45/45),https://www.youtube.com/watch?v=_HckRLrBXQM,https://www.youtube.com/watch?v=AEAJrT8PeOo,https://www.youtube.com/watch?v=qIVDxL2lgN4,https://www.youtube.com/watch?v=XFsZ6BO4LU0,https://www.youtube.com/watch?v=HOYnOeo42ko,,no,3,"The superhero poses, arms crossed and the wind blowing his cape and a towel that covers his genitals.",1:29,1,N/A,N/A,3,Mr. Bean eats a Snickers and turns into a kung fu fighter.,0:40,3,"An Oreo cartoon is shown alone with the word ""wonderfilled"".",1:13,3,The real Geico customer smiles while the comedian does auto car sound effects.,0:12,,
3M0556243SIX65RNTQQGWX82FAEFNG,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:47 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Mon Apr 23 06:08:25 PDT 2018,,,3EJPLAJKENEXQL9OLN38MYYJ05LZ6P,A2JY56TZCEPK3J,Approved,Wed Apr 18 16:23:33 PDT 2018,Wed Apr 18 16:28:30 PDT 2018,Fri Apr 20 16:28:30 PDT 2018,2018-04-20 23:28:48 UTC,,,297,100% (118/118),100% (116/116),100% (115/115),https://www.youtube.com/watch?v=_UU29bZjgz4,https://www.youtube.com/watch?v=wICpMU9nvRo,https://www.youtube.com/watch?v=syPqNTmupvY,https://www.youtube.com/watch?v=o3MbbQhZfq4,https://www.youtube.com/watch?v=W5N5Hlt7B2M,,NONE,2,A BABY LOOKS UP AS IT SMILES,NA,1,NA,NA,2,BILL NYE STANDS WITH HIMSELF,NA,1,NA,NA,2,TWO DRAGONS ARE SHOWN,NA,,
3M0556243SIX65RNTQQGWX82FAEFNG,3W679PTMVNUVU91TKMWAWP18H19BXY,Video Advertisement Climax Annotation (WARNING: This HIT may contain adult content. Worker discretion is advised.),"Annotate when the climax in a video ad occurs, using the format MM:SS.","video, advertisement, climax, intense moment",$0.40 ,Mon Apr 16 13:24:47 PDT 2018,4,BatchId:3197141;OriginalHitTemplateId:920937340;,1800,172800,Mon Apr 23 06:08:25 PDT 2018,,,3K2755HG5T1Q6DX3UYHFPCST5TPFDY,A3TS2NCBAB9L6V,Approved,Fri Apr 20 20:51:28 PDT 2018,Fri Apr 20 21:00:13 PDT 2018,Sun Apr 22 21:00:13 PDT 2018,2018-04-23 04:00:48 UTC,,,525,100% (19/19),100% (19/19),100% (19/19),https://www.youtube.com/watch?v=_UU29bZjgz4,https://www.youtube.com/watch?v=wICpMU9nvRo,https://www.youtube.com/watch?v=syPqNTmupvY,https://www.youtube.com/watch?v=o3MbbQhZfq4,https://www.youtube.com/watch?v=W5N5Hlt7B2M,,The 2nd and 4th videos are not available.,3,The product appears on the screen along with the laughing baby.,0:25,1,video not available,video not available,2,"""Origin Access"" appears on the screen along with two t.v. screens.",no climax,1,video not available,video not available,3,The Summoners War logo appears on the screen along with flames.,0:24,,
